,LSOA,population_per_hectare
939,E01008247,22.5
940,E01008248,3.3
941,E01008249,11.5
942,E01008250,33.0
943,E01008195,9.4
944,E01008197,11.9
945,E01008198,30.9
946,E01008199,58.5
947,E01008200,1.7
948,E01008245,12.1
949,E01008214,24.3
950,E01008215,14.3
951,E01008243,15.2
952,E01008244,22.8
953,E01008178,58.7
954,E01008180,63.0
955,E01008182,50.9
956,E01008277,34.6
957,E01008280,34.8
958,E01008177,30.1
959,E01008179,33.8
960,E01008181,4.8
961,E01008276,10.7
962,E01008279,39.8
963,E01008209,19.2
964,E01008210,46.1
965,E01008258,38.2
966,E01008259,6.5
967,E01008167,88.4
968,E01008169,144.0
969,E01008170,58.9
970,E01008171,122.3
971,E01008257,39.0
972,E01008262,9.8
973,E01008263,57.1
974,E01008264,34.3
975,E01008265,52.7
976,E01008266,15.9
977,E01008251,111.4
978,E01008252,94.0
979,E01008253,138.5
980,E01008254,91.0
981,E01008255,20.9
982,E01008165,43.8
983,E01008201,49.5
984,E01008202,64.2
985,E01008204,59.3
986,E01008212,43.6
987,E01008213,56.1
988,E01008216,47.6
989,E01008228,66.6
990,E01008206,37.7
991,E01008207,28.1
992,E01008208,15.7
993,E01008211,48.4
994,E01008283,5.1
995,E01008284,58.0
996,E01008286,26.7
997,E01008287,43.2
998,E01008231,39.7
999,E01008240,44.3
1000,E01008241,26.8
1001,E01008242,53.1
1002,E01008281,35.7
1003,E01008282,78.1
1004,E01008219,46.8
1005,E01008235,50.6
1006,E01008236,50.5
1007,E01008237,54.3
1008,E01008238,82.9
1009,E01008267,25.1
1010,E01008269,47.9
1011,E01008270,40.2
1012,E01008271,46.0
1013,E01008275,36.4
1014,E01008229,22.9
1015,E01008230,33.5
1016,E01008232,53.4
1017,E01008233,30.5
1018,E01008285,37.9
1019,E01008256,45.4
1020,E01008260,21.6
1021,E01008261,60.5
1022,E01008268,8.9
1023,E01008272,5.1
1024,E01008273,1.4
1025,E01008274,59.3
1026,E01008193,48.7
1027,E01008194,43.4
1028,E01008234,37.1
